Date,VOW.DE,VOW3.DE
2016-12-27,127.73655700683594,123.41033935546875
2016-12-28,127.51071166992188,122.82588958740234
2016-12-29,124.61992645263672,120.0384750366211
2016-12-30,123.53589630126953,119.90361022949219
2017-01-02,127.28489685058594,123.85993957519531
2017-01-03,129.85948181152344,126.28768920898438
2017-01-04,128.32376098632812,124.75909423828125
2017-01-05,129.40780639648438,125.07380676269531
2017-01-06,128.82061767578125,124.98388671875
2017-01-09,133.74398803710938,131.14315795898438
2017-01-10,133.78915405273438,131.32301330566406
2017-01-11,138.35116577148438,135.77386474609375
2017-01-12,136.13790893554688,132.4469451904297
2017-01-13,137.08645629882812,134.47007751464844
2017-01-16,134.06016540527344,131.54779052734375
2017-01-17,133.47296142578125,131.5927276611328
2017-01-18,133.4278106689453,131.6376953125
2017-01-19,134.64736938476562,132.89651489257812
2017-01-20,135.37005615234375,133.25619506835938
2017-01-23,139.11903381347656,137.39236450195312
2017-01-24,140.790283203125,138.11170959472656
2017-01-25,141.28712463378906,138.38143920898438
2017-01-26,140.92578125,137.12261962890625
2017-01-27,138.26083374023438,134.7847900390625
2017-01-30,134.69252014160156,130.82846069335938
2017-01-31,133.38262939453125,129.3897705078125
2017-02-01,134.60218811035156,131.00828552246094
2017-02-02,133.96981811523438,129.7494659423828
2017-02-03,134.55702209472656,130.2889404296875
2017-02-06,131.0790557861328,127.59146881103516
2017-02-07,131.93724060058594,127.5465087890625
2017-02-08,130.13050842285156,125.79312896728516
2017-02-09,129.67881774902344,125.88304138183594
2017-02-10,132.25340270996094,127.81624603271484
2017-02-13,135.05386352539062,130.60366821289062
2017-02-14,136.0927276611328,132.04232788085938
2017-02-15,135.1442108154297,131.14315795898438
2017-02-16,133.29229736328125,129.1200408935547
2017-02-17,130.8531951904297,126.10783386230469
2017-02-20,131.4403839111328,127.81624603271484
2017-02-21,133.4278106689453,129.6145782470703
2017-02-22,131.3500518798828,127.096923828125
2017-02-23,131.93724060058594,127.36666870117188
2017-02-24,131.84690856933594,127.00700378417969
2017-02-27,130.44668579101562,125.88304138183594
2017-02-28,129.0012969970703,125.6133041381836
2017-03-01,132.47926330566406,129.83935546875
2017-03-02,132.8406219482422,130.2889404296875
2017-03-03,133.11163330078125,130.3339080810547
2017-03-06,131.30487060546875,129.3448486328125
2017-03-07,131.89207458496094,130.1990509033203
2017-03-08,130.94354248046875,128.62551879882812
2017-03-09,129.40780639648438,126.96204376220703
2017-03-10,129.81431579589844,127.18681335449219
2017-03-13,131.62106323242188,129.6145782470703
2017-03-14,130.8531951904297,127.14187622070312
2017-03-15,129.76914978027344,126.10783386230469
2017-03-16,129.9046630859375,126.10783386230469
2017-03-17,127.28489685058594,124.62422943115234
2017-03-20,126.47184753417969,123.32042694091797
2017-03-21,124.57476806640625,120.84773254394531
2017-03-22,126.15567016601562,122.60111236572266
2017-03-23,126.24601745605469,122.51118469238281
2017-03-24,125.97498321533203,122.10655212402344
2017-03-27,125.25228881835938,121.3422622680664
2017-03-28,127.28489685058594,123.41033935546875
2017-03-29,127.4203872680664,123.23051452636719
2017-03-30,127.3300552368164,122.46621704101562
2017-03-31,126.15567016601562,122.82588958740234
2017-04-03,125.97498321533203,122.01663970947266
2017-04-04,124.9813003540039,120.66788482666016
2017-04-05,124.16826629638672,119.72376251220703
2017-04-06,123.80690002441406,119.58889770507812
2017-04-07,123.80690002441406,119.49897766113281
2017-04-10,125.74913787841797,119.49897766113281
2017-04-11,124.34892272949219,118.46493530273438
2017-04-12,125.07161712646484,118.59980773925781
2017-04-13,123.7617416381836,117.9254379272461
2017-04-18,127.14938354492188,123.14058685302734
2017-04-19,130.80804443359375,125.56835174560547
2017-04-20,130.6725311279297,125.6133041381836
2017-04-21,129.63365173339844,125.88304138183594
2017-04-24,132.70510864257812,129.03013610839844
2017-04-25,133.92466735839844,130.9633331298828
2017-04-26,134.15049743652344,130.8734130859375
2017-04-27,132.56959533691406,129.83935546875
2017-04-28,133.65365600585938,130.8734130859375
2017-05-02,133.29229736328125,129.83935546875
2017-05-03,132.02757263183594,128.80532836914062
2017-05-04,132.93093872070312,129.3448486328125
2017-05-05,133.24713134765625,129.6595458984375
2017-05-08,134.5118408203125,130.6486358642578
2017-05-09,133.83432006835938,129.70449829101562
2017-05-10,134.3311767578125,129.83935546875
2017-05-11,134.78900146484375,130.76068115234375
2017-05-12,134.376953125,131.94650268554688
2017-05-15,135.5215606689453,131.67286682128906
2017-05-16,135.0179443359375,130.76068115234375
2017-05-17,132.59136962890625,128.38902282714844
2017-05-18,130.6226348876953,126.33662414550781
2017-05-19,130.9889373779297,127.1575698852539
2017-05-22,130.8057861328125,126.29100036621094
2017-05-23,131.08047485351562,125.97174072265625
