Date,SP,Bond,EM,Gold
2013-03-07,0.0018164914425815581,-0.0015980399393126232,0.002750312332493454,-0.0035240703595200706
2013-03-08,0.004481139122655131,-0.002800658794263944,0.008685900815362801,0.00013101232655099437
2013-03-11,0.0032490857396794137,0.0,-0.005438506544454658,0.0018335326238412275
2013-03-12,-0.0024032529493148713,0.0020059779748917705,-0.011392316063854269,0.00784362968269714
2013-03-13,0.00131405176760091,-0.0004004268693406088,-0.009449008688517946,-0.0034373096238732304
2013-03-14,0.005602990523162488,-0.00040050110891765023,0.004188017229036722,0.0001300859898183404
2013-03-15,-0.0016184626244926115,0.0020036526750324413,-0.009036246090535105,0.0020822965868685372
2013-03-18,-0.005510332450180511,0.0012000973498322853,-0.01122277581338027,0.008961070667613535
2013-03-19,-0.0024225306518709244,0.0023968880582387886,-0.007093807362477111,0.00450506452725441
2013-03-20,0.006697492376419811,-0.0027892399576132654,0.005715353777064225,-0.004548992218975756
2013-03-21,-0.008282433828555424,0.0011987075448431916,-0.010182196200529514,0.005663930684613572
2013-03-22,0.007174256352702191,0.0003988045993117417,0.0038279531751923557,-0.004479980468749978
2013-03-25,-0.0033400389194234714,0.0007981494604381023,-0.0009535819421170322,-0.0019929125844543316
2013-03-26,0.0077851108025177584,-0.0003982419384949143,0.01431327426147666,-0.003349679554628948
2013-03-27,-0.0005883499068413123,0.0019943192741560534,0.0037628131792244446,0.004136500676053423
2013-03-28,0.00405666949441863,0.0007959002234274593,0.002108674507865338,-0.0058573870914927495
2013-04-01,-0.0044735804606589324,-0.00039763363501477134,-0.010755226372119342,0.001424417125607702
2013-04-02,0.005172264111710456,-0.0003987332282140432,0.0004729540133618926,-0.014482482185829704
2013-04-03,-0.010546128701639845,0.002390528298962913,-0.011811944921766071,-0.011152640752650878
2013-04-04,0.004048451943253761,0.001987142551362897,-0.002868986316417188,-0.0029191431956356872
2013-04-05,-0.00429489561132812,0.0027769937697719183,-0.002397592260695136,0.016767611850665
2013-04-08,0.006302737952936344,-0.0007908288001435837,0.001682424398714799,-0.004253608447543744
2013-04-09,0.0035443321494683655,0.0,0.009836887916555126,0.007754946420753139
2013-04-10,0.01218913260513399,-0.0031677755511704264,0.009503460780742934,-0.016890546496319603
